id,title,category,nutrition,ayurveda,notes,content
bengal-gram-whole-(चना-साबुत),Bengal Gram Whole (चना साबुत),"Cereals,Pulses,Lentils & Legumes","{'calories': '360.0', 'protein': '20.5', 'carbs': '62.0', 'fats': '5.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Great for stamina and digestion.,"Bengal Gram Whole (चना साबुत) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 360.0
- Protein: 20.5
- Carbohydrates: 62.0
- Fats: 5.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Great for stamina and digestion."
urad-split-(उड़द-दाल-धुली),Urad Split (उड़द दाल धुली),"Cereals,Pulses,Lentils & Legumes","{'calories': '341.0', 'protein': '25.0', 'carbs': '60.0', 'fats': '1.6'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↑'}",Nourishing but heavy.,"Urad Split (उड़द दाल धुली) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 341.0
- Protein: 25.0
- Carbohydrates: 60.0
- Fats: 1.6

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↑

Notes: Nourishing but heavy."
kidney-beans-small-(छोटा-राजमा),Kidney Beans Small (छोटा राजमा),"Cereals,Pulses,Lentils & Legumes","{'calories': '333.0', 'protein': '22.5', 'carbs': '61.0', 'fats': '1.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}","High fiber, reduces cholesterol.","Kidney Beans Small (छोटा राजमा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 333.0
- Protein: 22.5
- Carbohydrates: 61.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: High fiber, reduces cholesterol."
black-eyed-beans-(लोबिया),Black Eyed Beans (लोबिया),"Cereals,Pulses,Lentils & Legumes","{'calories': '343.0', 'protein': '23.4', 'carbs': '60.0', 'fats': '1.3'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Improves digestion if soaked well.,"Black Eyed Beans (लोबिया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 343.0
- Protein: 23.4
- Carbohydrates: 60.0
- Fats: 1.3

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Improves digestion if soaked well."
soya-chunks-(सोया-बड़ी),Soya Chunks (सोया बड़ी),"Cereals,Pulses,Lentils & Legumes","{'calories': '345.0', 'protein': '52.0', 'carbs': '33.0', 'fats': '0.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}","Very high protein, increases Kapha.","Soya Chunks (सोया बड़ी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 345.0
- Protein: 52.0
- Carbohydrates: 33.0
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: Very high protein, increases Kapha."
matki-(मटकी),Matki (मटकी),"Cereals,Pulses,Lentils & Legumes","{'calories': '343.0', 'protein': '24.0', 'carbs': '61.0', 'fats': '1.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Supports weight loss and digestion.,"Matki (मटकी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 343.0
- Protein: 24.0
- Carbohydrates: 61.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Supports weight loss and digestion."
red-lentils-split-(लाल-मसूर-दाल),Red Lentils Split (लाल मसूर दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '319.0', 'protein': '25.4', 'carbs': '60.0', 'fats': '1.2'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Light and quick to cook.,"Red Lentils Split (लाल मसूर दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 319.0
- Protein: 25.4
- Carbohydrates: 60.0
- Fats: 1.2

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Light and quick to cook."
whole-moong-sprouts-(अंकुरित-मूंग),Whole Moong Sprouts (अंकुरित मूंग),"Cereals,Pulses,Lentils & Legumes","{'calories': '30.0', 'protein': '3.0', 'carbs': '6.0', 'fats': '0.2'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Highly sattvic improves digestion.,"Whole Moong Sprouts (अंकुरित मूंग) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 30.0
- Protein: 3.0
- Carbohydrates: 6.0
- Fats: 0.2

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Highly sattvic improves digestion."
pea-protein-(मटर-प्रोटीन),Pea Protein (मटर प्रोटीन),"Cereals,Pulses,Lentils & Legumes","{'calories': '360.0', 'protein': '80.0', 'carbs': '7.0', 'fats': '5.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",High protein supplement.,"Pea Protein (मटर प्रोटीन) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 360.0
- Protein: 80.0
- Carbohydrates: 7.0
- Fats: 5.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: High protein supplement."
dry-lentils-yellow-(पीली-दाल),Dry Lentils Yellow (पीली दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '330.0', 'protein': '24.0', 'carbs': '62.0', 'fats': '1.5'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Gentle on stomach.,"Dry Lentils Yellow (पीली दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 330.0
- Protein: 24.0
- Carbohydrates: 62.0
- Fats: 1.5

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Gentle on stomach."
field-beans-(बाकला),Field Beans (बाकला),"Cereals,Pulses,Lentils & Legumes","{'calories': '343.0', 'protein': '21.0', 'carbs': '62.0', 'fats': '1.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Strong but gas-forming if unsoaked.,"Field Beans (बाकला) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 343.0
- Protein: 21.0
- Carbohydrates: 62.0
- Fats: 1.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Strong but gas-forming if unsoaked."
dry-soya-beans-(सूखा-सोया),Dry Soya Beans (सूखा सोया),"Cereals,Pulses,Lentils & Legumes","{'calories': '446.0', 'protein': '36.0', 'carbs': '30.0', 'fats': '19.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}",Rich in protein and fats.,"Dry Soya Beans (सूखा सोया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 446.0
- Protein: 36.0
- Carbohydrates: 30.0
- Fats: 19.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: Rich in protein and fats."
sprouted-matki-(अंकुरित-मटकी),Sprouted Matki (अंकुरित मटकी),"Cereals,Pulses,Lentils & Legumes","{'calories': '92.0', 'protein': '8.0', 'carbs': '17.0', 'fats': '0.6'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Improves digestion and nutrient absorption.,"Sprouted Matki (अंकुरित मटकी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 92.0
- Protein: 8.0
- Carbohydrates: 17.0
- Fats: 0.6

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Improves digestion and nutrient absorption."
