Food Item (खाद्य पदार्थ),"Cereals,Pulses,Lentils & Legumes",Calories (per 100g),Protein (g),Carbs(g),Fats(g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects),,,,,,
Red Kidney Beans (लाल राजमा),"Cereals,Pulses,Lentils & Legumes",337,22.9,60.6,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in iron; gas-forming.,,,,,,
White Kidney Beans (सफेद राजमा),"Cereals,Pulses,Lentils & Legumes",333,21.5,60,0.9,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for muscle gain.,,,,,,
Navy Beans (नेवी बीन्स),"Cereals,Pulses,Lentils & Legumes",337,22.3,60,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High fiber; supports gut health.,,,,,,
Pinto Beans (पिंटो बीन्स),"Cereals,Pulses,Lentils & Legumes",347,21.4,62.6,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in antioxidants.,,,,,,
Black Beans (काले बीन्स),"Cereals,Pulses,Lentils & Legumes",341,21.6,62.4,1.4,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for bone strength.,,,,,,
Cranberry Beans (क्रैनबेरी बीन्स),"Cereals,Pulses,Lentils & Legumes",340,23,60,2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Improves cholesterol profile.,,,,,,
Broad Beans (फावा बीन्स),"Cereals,Pulses,Lentils & Legumes",341,21,58,1.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↑,High in folate.,,,,,,
Lima Beans (लीमा बीन्स),"Cereals,Pulses,Lentils & Legumes",338,21.4,63.4,0.7,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Nourishing but slow digestion.,,,,,,
Adzuki Beans (अदजुकी बीन्स),"Cereals,Pulses,Lentils & Legumes",329,19.9,62.9,0.5,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Good for liver detox.,,,,,,
Green Lentils (हरी मसूर),"Cereals,Pulses,Lentils & Legumes",352,24,60,1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High protein; regulates sugar.,,,,,,
Black Lentils (काली दाल),"Cereals,Pulses,Lentils & Legumes",353,25,60.8,1.1,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Very strengthening.,,,,,,
French Lentils (फ्रेंच दाल),"Cereals,Pulses,Lentils & Legumes",353,26,60,1.2,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High mineral content.,,,,,,
Yellow Split Peas (पीली मटर),"Cereals,Pulses,Lentils & Legumes",341,24.5,60,1,Sweet Astringent (मधुर कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Gentle on digestion.,,,,,,
Green Split Peas (हरी मटर),"Cereals,Pulses,Lentils & Legumes",349,25,61,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for fiber intake.,,,,,,
Black Chickpeas Flour (काला चना आटा),"Cereals,Pulses,Lentils & Legumes",387,22,60,6,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Supports bodybuilding.,,,,,,
Besan / Chickpea Flour (बेसन),"Cereals,Pulses,Lentils & Legumes",387,22,57.8,6.7,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Light digestible if roasted.,,,,,,
Pressed Soy Chunks (सोया नगेट्स),"Cereals,Pulses,Lentils & Legumes",336,52,33,0.5,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Excellent plant protein.,,,,,,
Moong Flour (मूंग आटा),"Cereals,Pulses,Lentils & Legumes",347,24,62,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Very light for digestion.,,,,,,
Pea Dal (मटर दाल),"Cereals,Pulses,Lentils & Legumes",350,23,62,1.1,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Helps regulate cholesterol.,,,,,,
Phaseolus Beans (फेसोलस बीन्स),"Cereals,Pulses,Lentils & Legumes",340,22,61,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in potassium.,,,,,,
Jiot Beans (जिओट बीन्स),"Cereals,Pulses,Lentils & Legumes",341,23,59,1.4,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Improves stamina.,,,,,,
Haricot Beans (हेरिकॉट बीन्स),"Cereals,Pulses,Lentils & Legumes",336,22,61.5,1.2,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Good for heart health.,,,,,,
White Peas (सफेद मटर),"Cereals,Pulses,Lentils & Legumes",341,20,64,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for winter diets.,,,,,,
Black Beans Whole (साबुत काले बीन्स),"Cereals,Pulses,Lentils & Legumes",347,21.5,63,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High in magnesium.,,,,,,
Moth Beans (मटकी बीन्स),"Cereals,Pulses,Lentils & Legumes",343,24,61,1,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Boosts metabolism.,,,,,,
Dry Fava Beans (सूखी फावा बीन्स),"Cereals,Pulses,Lentils & Legumes",341,21,58,1.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↑,"Folate rich, good protein.",,,,,,
White Urad (सफेद उड़द),"Cereals,Pulses,Lentils & Legumes",341,25,60,1.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Strengthening; heavy food.,,,,,,
Urad Flour (उड़द आटा),"Cereals,Pulses,Lentils & Legumes",347,24,61,1.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Used in traditional preparations.,,,,,,
Whole Soy (साबुत सोया),"Cereals,Pulses,Lentils & Legumes",446,36,30,19,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,"High protein , dense food.",,,,,,
Ripe Pea Beans (मटर बीन्स),"Cereals,Pulses,Lentils & Legumes",344,23,62,1.2,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good source of plant protein.,,,,,,
Kabuli Chana Flour (काबुली चना आटा),"Cereals,Pulses,Lentils & Legumes",387,22,58,6.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Good for protein; used in gluten-free diets.,,,,,,
Red Lobia (लाल लोबिया),"Cereals,Pulses,Lentils & Legumes",336,23,61,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in iron; slow digestion.,,,,,,
White Lobia (सफेद लोबिया),"Cereals,Pulses,Lentils & Legumes",333,22.5,60,1.4,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Helps in weight management.,,,,,,
Dal Makhani Beans (दाल माखनी दाल),"Cereals,Pulses,Lentils & Legumes",350,25,59,1.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Rich and strengthening.,,,,,,
Bambara Groundnuts (बाम्बारा),"Cereals,Pulses,Lentils & Legumes",400,20,60,6,Sweet Astringent (मधुर कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High fiber and minerals.,,,,,,
Dry Chickpeas (सूखा चना),"Cereals,Pulses,Lentils & Legumes",364,19,61,6,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Used commonly for flour and snacks.,,,,,,
Whole Green Peas (साबुत हरी मटर),"Cereals,Pulses,Lentils & Legumes",352,23,63,1,Sweet Astringent (मधुर कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for soups.,,,,,,
Split Horse Gram (कुल्थी दाल),"Cereals,Pulses,Lentils & Legumes",321,22,57.2,0.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Great for weight loss and kidney issues.,,,,,,
Split Bengal Gram (चना दाल धुली),"Cereals,Pulses,Lentils & Legumes",364,20.8,60,5.6,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Strengthening but hard to digest.,,,,,,
Whole Yellow Peas (पीली साबुत मटर),"Cereals,Pulses,Lentils & Legumes",348,23,62,1,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Helpful in fiber-rich diets.,,,,,,
Canned Kidney Beans (डिब्बाबंद राजमा),"Cereals,Pulses,Lentils & Legumes",132,8.7,21,0.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Easier to digest than dry beans.,,,,,,
Whole Red Lentils (लाल साबुत मसूर),"Cereals,Pulses,Lentils & Legumes",329,25,59,1.4,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for heart health.,,,,,,
Roasted Chana (भुना चना),"Cereals,Pulses,Lentils & Legumes",365,22,60,5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Light snack; high protein.,,,,,,
Steamed Soybeans (उबला सोया),"Cereals,Pulses,Lentils & Legumes",172,17,10,8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Improves muscle mass.,,,,,,
Cooked Lentils (पकी मसूर दाल),"Cereals,Pulses,Lentils & Legumes",116,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very easy to digest.,,,,,,
Cooked Moong Dal (पकी मूंग दाल),"Cereals,Pulses,Lentils & Legumes",105,7.2,19,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Ideal for weak digestion.,,,,,,
Cooked Urad Dal (पकी उड़द दाल),"Cereals,Pulses,Lentils & Legumes",150,12,25,1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Rich but heavy food.,,,,,,
Cooked Chana Dal (पकी चना दाल),"Cereals,Pulses,Lentils & Legumes",135,9,20,4,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Good protein for meals.,,,,,,
Boiled Rajma (उबला राजमा),"Cereals,Pulses,Lentils & Legumes",127,8.7,18,0.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Gentler on digestion than dry.,,,,,,
Boiled Chole (उबला चना),"Cereals,Pulses,Lentils & Legumes",164,8,27,2.6,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for salads & bowls.,,,,,,
Boiled Green Peas (उबली हरी मटर),"Cereals,Pulses,Lentils & Legumes",84,5,15,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Good for digestion.,,,,,,
Roasted Soybeans (भुना सोया),"Cereals,Pulses,Lentils & Legumes",432,36,30,19,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Crunchy high-protein snack.,,,,,,
Steamed Chickpeas (स्टीम्ड चना),"Cereals,Pulses,Lentils & Legumes",160,8,25,2,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Better digestibility.,,,,,,
Boiled Black Chana (उबला काला चना),"Cereals,Pulses,Lentils & Legumes",164,9,27,2.6,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in minerals.,,,,,,
Cooked Matki (पकी मटकी),"Cereals,Pulses,Lentils & Legumes",97,7,18,0.8,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for weight loss.,,,,,,
Moong Sprout Curry (मूंग अंकुरित सब्ज़ी),"Cereals,Pulses,Lentils & Legumes",53,4,8,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Very sattvic & detoxifying.,,,,,,
Cooked Green Gram (पका साबुत मूंग),"Cereals,Pulses,Lentils & Legumes",116,8,20,0.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Excellent for digestive issues.,,,,,,
Boiled Soy Nuggets (उबला सोया बड़ी),"Cereals,Pulses,Lentils & Legumes",160,20,10,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High protein; good for athletes.,,,,,,
Cooked Lobia (पकी लोबिया),"Cereals,Pulses,Lentils & Legumes",140,9,24,0.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for winter meals.,,,,,,
Cooked Moth Beans (पकी मटकी बीन्स),"Cereals,Pulses,Lentils & Legumes",110,7,19,0.7,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Helps digestion.,,,,,,
Boiled Peas (उबली मटर),"Cereals,Pulses,Lentils & Legumes",78,5.2,14,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Light and cooling.,,,,,,
Double Beans (डबल बीन्स),"Cereals,Pulses,Lentils & Legumes",347,21,62,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,"High fiber, filling.",,,,,,
White Pea Dal (सफेद मटर दाल),"Cereals,Pulses,Lentils & Legumes",347,22.5,62,1.2,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for soups and khichdi.,,,,,,
Roasted Urad Dal (भुनी उड़द दाल),"Cereals,Pulses,Lentils & Legumes",345,24,61,1.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Strengthening but hard to digest.,,,,,,
Split Black Gram (काली उड़द दाल),"Cereals,Pulses,Lentils & Legumes",341,25,59,1.8,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Used for traditional Indian dishes.,,,,,,
Dry Lupin Beans (सूखे लुपिन बीन्स),"Cereals,Pulses,Lentils & Legumes",371,33,40,9.8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↑,"High protein, low carb.",,,,,,
Boiled Lupin Beans (उबले लुपिन बीन्स),"Cereals,Pulses,Lentils & Legumes",119,16,12,3,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Easier to digest.,,,,,,
Dry Navy Beans (सूखे नेवी बीन्स),"Cereals,Pulses,Lentils & Legumes",337,22.3,60,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Improves gut health.,,,,,,
Boiled Navy Beans (उबले नेवी बीन्स),"Cereals,Pulses,Lentils & Legumes",140,8,25,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and nutritious.,,,,,,
Whole Butter Beans (साबुत बटर बीन्स),"Cereals,Pulses,Lentils & Legumes",338,21,63,0.8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Good for winter diets.,,,,,,
Boiled Butter Beans (उबले बटर बीन्स),"Cereals,Pulses,Lentils & Legumes",133,7.9,23,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Good source of protein.,,,,,,
Whole Cannellini Beans (कैनलिनी बीन्स),"Cereals,Pulses,Lentils & Legumes",330,22,61,1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for soups and salads.,,,,,,
Boiled Cannellini Beans (उबले कैनलिनी बीन्स),"Cereals,Pulses,Lentils & Legumes",140,8.7,21,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and filling.,,,,,,
Dry Black-eyed Peas (सूखी लोबिया),"Cereals,Pulses,Lentils & Legumes",343,23.4,60,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in protein.,,,,,,
Boiled Black-eyed Peas (उबली लोबिया),"Cereals,Pulses,Lentils & Legumes",140,8,25,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easier to digest.,,,,,,
Dry Pinto Beans (सूखे पिंटो बीन्स),"Cereals,Pulses,Lentils & Legumes",347,21.4,62.6,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Common in Mexican food.,,,,,,
Boiled Pinto Beans (उबले पिंटो बीन्स),"Cereals,Pulses,Lentils & Legumes",143,9,24,0.6,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Better digestibility.,,,,,,
